Depth,Year,Month,Day,Sample site,Easting,Northing,UTM,Depth (m),Species 
DEEP,2018,8,29,1,644607,5045117,18 T,1.524,"E.c, M.s"
DEEP,2018,8,29,2,644399,5045299,18 T,1.4384,"E.c, M.s, C.d"
DEEP,2018,8,29,3,644072,5045178,18 T,2.75,"E.c, M.s, C.d"
DEEP,2018,8,29,4,644048,5045037,18 T,2.032,"E.c, M.s"
DEEP,2018,8,29,5,644271,5044907,18 T,1.4384,"E.c, M.s, C.d"
SHALLOW,2018,8,30,1,644593,5045013,18 T,0.65,"E.c, M.s"
SHALLOW,2018,8,30,2,644577,5045243,18 T,0.3,"E.c, M.s"
SHALLOW,2018,8,30,3,644053,5045298,18 T,0.36,"E.c, M.s"
SHALLOW,2018,8,30,4,643993,5044948,18 T,0.53,"E.c, M.s"
SHALLOW,2018,8,30,5,644232,5044868,18 T,0.63,"E.c, M.s"
